name,category,access,popularity,support,machine,learningCurve,license,website,training,fileTypes,examples,functionality,image
ArcGIS Desktop,Desktop GIS,Personal computer / VCL / NYU Labs,5,Full support,Windows,Advanced,Proprietary (Free for NYU),https://www.esri.com/software/arcgis/arcgis-for-desktop,https://www.esri.com/training/#!/unlimited-esri-training/,http://desktop.arcgis.com/en/arcmap/10.3/manage-data/datatypes/about-geographic-data-formats.htm,http://www.esri.com/software/arcgis/use-cases,"Basic Visualization, Thematic Maps, Data Interoperability, Geocoding, Proximity Analysis, Geo-rectification, SQL Query, Hot-spot Analysis, Time Series, Raster Analysis, Network Analysis, Python Support, Geo-statistical Analysis, 3D Analysis, Advanced Modelling",https://s3.amazonaws.com/nyu-gis-visualization/arc_gis_icon.png
QGIS,Desktop GIS,Personal computer / VCL / NYU Labs,5,Full support,"Windows, Mac, Linux",Advanced,Open Source (Free),https://qgis.org,http://docs.qgis.org/2.14/en/docs/training_manual/index.html,https://docs.qgis.org/2.2/en/docs/user_manual/working_with_vector/supported_data.html,http://www.qgis.org/en/site/about/case_studies/index.html,"Basic Visualization, Thematic Maps, Data Interoperability, Geocoding, Proximity Analysis, Geo-rectification, SQL Query, Hot-spot Analysis, Time Series, Raster Analysis, Network Analysis, Python Support, Geo-statistical Analysis, 3D Analysis, Advanced Modelling",https://s3.amazonaws.com/nyu-gis-visualization/qgis_icon.png
ArcGIS Pro,Desktop GIS,Personal computer / NYU Labs,4,Full support,Windows,Advanced,Proprietary (Free for NYU),http://pro.arcgis.com/en/pro-app/,http://pro.arcgis.com/en/pro-app/get-started/pro-quickstart-tutorials.htm,http://pro.arcgis.com/en/pro-app/help/projects/supported-data-types-and-items.htm,http://www.esri.com/software/arcgis/use-cases,"Basic Visualization, Thematic Maps, Data Interoperability, Geocoding, Proximity Analysis, Geo-rectification, SQL Query, Hot-spot Analysis, Time Series, Raster Analysis, Network Analysis, Python Support, Geo-statistical Analysis, 3D Analysis, Advanced Modelling",https://s3.amazonaws.com/nyu-gis-visualization/arcgis_pro.png
City Engine,Desktop GIS,Personal computer / NYU Labs,3,Limited support,"Windows, Mac, Linux",Advanced,Proprietary (Free for NYU),http://www.esri.com/software/cityengine,https://www.esri.com/training/#!/unlimited-esri-training/,http://cehelp.esri.com/help/index.jsp?topic=/com.procedural.cityengine.help/html/manual/import/import_overview.html,http://www.esri.com/software/cityengine/industries,"Basic Visualization, Multimedia Support, Time Series, Advanced Visualization, 3D Analysis, Advanced Modelling",https://s3.amazonaws.com/nyu-gis-visualization/city_engine.jpg
GRASS,Desktop GIS,Personal computer / NYU Labs,3,No support,"Windows, Mac, Linux",Advanced,Open Source (Free),https://grass.osgeo.org/,https://grass.osgeo.org/documentation/tutorials/,http://www.gdal.org/formats_list.html,https://grasswiki.osgeo.org/wiki/Applications,"Basic Visualization, Thematic Maps, Data Cleaning, Time Series, Raster Analysis, Advanced Modelling",https://s3.amazonaws.com/nyu-gis-visualization/grassgis_logo_colorlogo_text_alphabg.png
R,Desktop GIS,Personal computer / VCL / NYU Labs,3,Full support,"Windows, Mac, Linux",Advanced,Open Source,https://www.r-project.org/,https://www.rstudio.com/resources/training/,https://cran.r-project.org/doc/manuals/r-release/R-data.html,https://www.r-project.org/,"Basic Visualization, Thematic Maps",https://s3.amazonaws.com/nyu-gis-visualization/724px-R_logo.svg.png
Erdas Imagine,Desktop GIS,Data Services Lab,2,No support,Windows,Advanced,Proprietary (Free for NYU),https://www.hexagongeospatial.com/,http://community.hexagongeospatial.com/t5/ERDAS-IMAGINE/tkb-p/eTErdasImagine,http://www.hexagongeospatial.com/technical-documents/imagine-data-format-by-product-tiers,http://www.google.com/earth/explore/showcase/,"Basic Visualization, Web Publishing, Advanced Visualization, Python Support",https://s3.amazonaws.com/nyu-gis-visualization/grassgis_logo_colorlogo_text_alphabg.png
Google Earth Pro,Desktop GIS,Personal computer / VCL / NYU Labs,2,Full support,"Windows, Mac",Beginner,Proprietary (Free for NYU),https://www.google.com/earth/,https://support.google.com/earth/?hl=en&rd=2#topic=4363013,https://www.google.com/earth/outreach/tutorials/importgis.html,http://www.google.com/earth/explore/showcase/,Basic Visualization,https://s3.amazonaws.com/nyu-gis-visualization/google_earth.png
ArcGIS Earth,Desktop GIS,Personal computer / NYU Labs,2,Full support,Windows,Beginner,Proprietary (Free for NYU),https://www.esri.com/software/arcgis-earth,https://learn.arcgis.com/en/projects/get-started-with-arcgis-earth/lessons/explore-the-world-with-arcgis-earth.htm,http://doc.arcgis.com/en/arcgis-earth/,https://blogs.esri.com/esri/arcgis/2015/06/22/introducing-arcgis-earth-3d-made-easy/,"Basic Visualization, 3D Analysis",https://s3.amazonaws.com/nyu-gis-visualization/oNCStw4a.png
ESRI StoryMaps,Web-mapping tool,Personal computer / VCL / NYU Labs,5,Full support,Web-based,Beginner,Proprietary (Free for NYU),http://storymaps.arcgis.com/en/,https://storymaps.arcgis.com/en/how-to/,http://doc.arcgis.com/en/arcgis-online/reference/supported-html.htm,https://storymaps.arcgis.com/en/gallery/#s=0,"Basic Visualization, Web Publishing, Thematic Maps, Multimedia Support, Advanced Visualization",https://s3.amazonaws.com/nyu-gis-visualization/arc_gis_icon.png
Carto,Web-mapping tool,Personal computer / VCL / NYU Labs,5,Full support,Web-based,Beginner,Proprietary (Free for NYU),https://carto.com/,https://carto.com/blog/,https://carto.com/docs/carto-editor/datasets/#supported-geospatial-data-formats,https://carto.com/gallery/,"Basic Visualization, Web Publishing, Thematic Maps, Multimedia Support, Time Series, Advanced Visualization",https://s3.amazonaws.com/nyu-gis-visualization/carto.png
ArcGIS Online,Web-mapping tool,Personal computer / NYU Labs,4,Full support,Web-based,Intermediate,Proprietary (Free for NYU),http://www.esri.com/software/arcgis/arcgisonline,http://doc.arcgis.com/en/arcgis-online/,https://doc.arcgis.com/en/arcgis-online/share-maps/supported-items.htm,http://www.esri.com/software/arcgis/arcgisonline,"Data Discovery, Basic Visualization, Web Publishing, Thematic Maps, Geocoding, Multimedia Support, Proximity Analysis, Hot-spot Analysis, Time Series, Network Analysis, Geo-statistical Analysis, 3D Analysis",https://s3.amazonaws.com/nyu-gis-visualization/arc_gis_icon.png
Google Fusion Tables,Web-mapping tool,Personal computer / VCL / NYU Labs,3,Full support,Web-based,Beginner,Proprietary (Free for NYU),https://support.google.com/fusiontables/answer/2571232,https://support.google.com/fusiontables/answer/184641?hl=en,https://support.google.com/fusiontables/answer/171181?hl=en,https://sites.google.com/site/fusiontablestalks/stories,"Data Discovery, Basic Visualization, Web Publishing, Thematic Maps, Geocoding",https://s3.amazonaws.com/nyu-gis-visualization/fusion_tables_icon.png
Fabula Maps,Web-mapping tool,Personal computer,2,No support,Web-based,Beginner,Proprietary,https://fabulamaps.com/,https://www.fabulamaps.com/guides,https://www.fabulamaps.com/guides/importing-features,https://fabulamaps.com/stories,"Basic Visualization, Web Publishing, Multimedia Support",https://s3.amazonaws.com/nyu-gis-visualization/fabula.png
StoryMap JS,Web-mapping tool,Personal computer,2,No support,Web-based,Intermediate,Open Source (Free),https://storymap.knightlab.com/,https://storymap.knightlab.com/#help,https://storymap.knightlab.com/advanced/,https://storymap.knightlab.com/#examples,"Basic Visualization, Web Publishing, Multimedia Support",https://i.ytimg.com/vi/hgIiCs90ERA/mqdefault.jpg
Palladio,Web-mapping tool,Personal computer / VCL / NYU Labs,2,Full support,Web-based,Beginner,Open Source,http://palladio.designhumanities.org/#/,http://hdlab.stanford.edu/palladio/help/,http://hdlab.stanford.edu/palladio/tutorials/data/,http://hdlab.stanford.edu/palladio/,"Basic Visualization, Web Publishing, Network Analysis",https://s3.amazonaws.com/nyu-gis-visualization/palladio_icon.png
Time Mapper,Web-mapping tool,Personal computer / VCL / NYU Labs,1,No support,Web-based,Beginner,Open Source,http://timemapper.okfnlabs.org/,http://timemapper.okfnlabs.org/,http://timemapper.okfnlabs.org/,http://timemapper.okfnlabs.org/,"Basic Visualization, Web Publishing, Time Series",https://s3.amazonaws.com/nyu-gis-visualization/timemapper3.png
Social Explorer,Database with mapping functionality,On-campus / Off-campus via VPN,5,Full support,Web-based,Beginner,Proprietary (Free for NYU),http://www.socialexplorer.com/,https://www.socialexplorer.com/help,http://www.socialexplorer.com/help,http://www.socialexplorer.com/blog/post,"Data Discovery, Basic Visualization, Web Publishing, Thematic Maps",https://s3.amazonaws.com/nyu-gis-visualization/social_explorer_icon.png
Simply Map,Database with mapping functionality,On-campus / Off-campus via VPN,5,Full support,Web-based,Beginner,Proprietary (Free for NYU),http://simplymap.com/login.html,https://simplymap.zendesk.com/hc/en-us/sections/200837666-Tips-Tricks,https://simplymap.com/help/usa/output_from_simplymap.htm,http://geographicresearch.com/simplymap/news/,"Data Discovery, Basic Visualization, Web Publishing, Thematic Maps",https://s3.amazonaws.com/nyu-gis-visualization/simply_map_icon.png
NYU SDR,Database with mapping functionality,On-campus / Off-campus via VPN,4,Full support,Web-based,Beginner,Proprietary (Free for NYU),https://geo.nyu.edu/,,,https://geo.nyu.edu/catalog/nyu_2451_34167,"Data Discovery, Basic Visualization, Data Interoperability",https://s3.amazonaws.com/nyu-gis-visualization/NYU_Spatial_Data_Repository.png
