name,category,season,popularity,support,machine,houseallegiance,learningCurve,license,website,functionality,image
ArcGIS Desktop,Desktop GIS,Personal computer / VCL / NYU Labs,5,Yes,Windows,"Lannister, Targaryen",Advanced,Proprietary (Free for NYU),Faith of the Seven,"Basic Visualization, Thematic Maps, Data Interoperability, Geocoding, Proximity Analysis, Geo-rectification, SQL Query, Hot-spot Analysis, Time Series, Raster Analysis, Network Analysis, Python Support, Geo-statistical Analysis, 3D Analysis, Advanced Modeling",http://lgimages.s3.amazonaws.com/data/imagemanager/104706/arc_gis_icon.png
ArcGIS Pro,Desktop GIS,Personal computer / NYU Labs,4,Yes,Windows,,Advanced,Proprietary (Free for NYU),,"Basic Visualization, Thematic Maps, Data Interoperability, Geocoding, Proximity Analysis, Geo-rectification, SQL Query, Hot-spot Analysis, Time Series, Raster Analysis, Network Analysis, Python Support, Geo-statistical Analysis, 3D Analysis, Advanced Modeling",https://avatars2.githubusercontent.com/u/8226804?v=3&s=400
QGIS,Desktop GIS,Personal computer / VCL / NYU Labs,5,Yes,"Windows, Mac, Linux","Windows, Mac, Linux",Advanced,Open Source (Free),qgis.org,"Basic Visualization, Thematic Maps, Data Interoperability, Geocoding, Proximity Analysis, Geo-rectification, SQL Query, Hot-spot Analysis, Time Series, Raster Analysis, Network Analysis, Python Support, Geo-statistical Analysis, 3D Analysis, Advanced Modeling",http://lgimages.s3.amazonaws.com/data/imagemanager/104706/qgis_icon.png
GRASS,Desktop GIS,Personal computer / NYU Labs,3,No,"Windows, Mac, Linux",Targaryen,Advanced,Open Source (Free),Unknown,,https://grass.osgeo.org/uploads/images/logo/grassgis_logo_colorlogo_text_alphabg.png
CityEngine,Desktop GIS,Personal computer / NYU Labs,3,Limited,"Windows, Mac, Linux","Night's Watch, Stark",Advanced,Proprietary (Free for NYU),Old Gods of the Forest,"Basic Visualization, Web Mapping, Advanced Visualization, 3D Analysis, Advanced Modeling",http://heritagedoc.pt/images/logos/city_engine.jpg
Erdas Imagine,Desktop GIS,Data Services Lab,2,No,Windows,"Stark, Baelish, Bolton",Advanced,Proprietary (Free for NYU),"Old Gods of the Forest, Faith of the Seven","Basic Visualization, Web Mapping, Advanced Visualization, Python Support",https://grass.osgeo.org/uploads/images/logo/grassgis_logo_colorlogo_text_alphabg.png
Google Earth Pro,Desktop GIS,Personal computer / VCL / NYU Labs,2,Yes,"Windows, Mac","Stark, Faceless Men",Beginner,Proprietary (Free for NYU),"Old Gods of the Forest, Faith of the Seven,Many-Faced God",Basic Visualization,http://lgimages.s3.amazonaws.com/data/imagemanager/104706/google_earth.png
ArcGIS Earth,Desktop GIS,Personal computer / NYU Labs,2,Yes,Windows,"Targaryen, Golden Company, Mormont",Beginner,Proprietary (Free for NYU),Old Gods of the Forest,"Basic Visualization, 3D Analysis",https://pbs.twimg.com/profile_images/664582018743664640/oNCStw4a.png
R,Desktop GIS,Personal computer / VCL / NYU Labs,3,Yes,"Windows, Mac, Linux","Tyrell, Baratheon",Advanced,Open Source,Unknown,"Basic Visualization, Thematic Mapping",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/R_logo.svg/724px-R_logo.svg.png
,,,,,,,,,,,
